A2_District	gender resp	age	Head_Household	educ	HH women	HH girls	HH men	HH boys	girls_school	boys_school	marital	residency	income	employment	income_source	A15 CFW	A15 Unconditional cash transfer	A15 Water supply	A15 Training	A15 Hygiene education	A15  Improved sanitation	A15 Agricultural support	A15 GBV support	disabled	disabled_HH	received_cash	persone_sick	B1_own_land	B1_AcresOwned	B3 Maize	B3 Beans	B3 Tomatoes	B3 other	B4 Maize_seeds	B4 Beans_seeds	B4 tomatoes_seeds	B4 other_seeds	B5 Maize_source	B5 Beans_Source	B5 tomatoes_source	B5 Other_source	B7 MaizeAcres	B7 Acres Beans	B7 Acres Tomatoes	B7 Acres Other	B8 MaizeEnough	B8 BeansEnough	B8 tomatoEnough	B8 OtherEnough	B9 Maize_fert	B9 Beans_fert	B9 Tom_fert	B9 other_fert	B15 Maize_fert_AVSI	B15 Bean_fert_AVSI	B15 tomatoes_fert_AVSI	B15 Other_fert_AVSI	B19 Modern agricultural practices	B19 Harvesting and post-harvesting handling	B19 Use of agricultural inputs	B19 Fertilizer application	B19 Soil erosion control	B19 Pest management	B19 Other training	B20_AVSI_equip	Equipment received	B25_FishFarm	C1_AVSI_CFW	D1_received_CT	E1_MainsourceWaterDry	E1_MainsourceWaterRainy	E3_Time_Water_Rainy	E4_Time_Water_Dry	E5_liters_per_day	E6_Boreholes_village	dry jan	dry feb	dry mar	dry apr	dry may	dry jun	dry jul	dry aug	dry sep	dry oct	dry nov	dry dec	E7_Water_treatment_kits	E9_sanitation	E10_people_per_toil	E11_latrines_proj	E12_Women_men_sep	E13_School_toil	E14_Toil_solar	latrines_OK	E15 Before preparing meals	E15 Before serving food	E15 Before eating	E15 Before feeding a baby	E15 After cleaning the baby of the feaces	E15 After using the toilet	E15 After handling garbage	E15 After playing with children	E16_Handwahs_why	E17_wash_with_what	E18_used_toil_lasttime	E19_covidTraning	E20 Jerry can	E20 Soap	E20 towel	E20 Underwear	E20 Nail cutter/clipper	E20 Comb	E21_heard_radio_Hygmess	E22_WasteManagement	feedback_text	category	A3_Village	girls_school_%	boys_school_%	gender HHH	age HHH	HH Total	income_per_member
Kismayo	Female	40	Yes	No education	0	3	0	4	2	2	Widower	IDP	3	Unemployed	Land cultivation	No	No	No	No	No	No	No	No	Yes	No	No	No	Yes	24.7105381	Yes	Yes	Yes	Sasemi	Improved	Improved	Improved	Improved	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0.1	0.1	0.1	0.1	No	No	No	No	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	No	No	No	No	No	No	No	Yes	1Forks, 1shovel, 1axe	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Rainwater collection	90	15	80	0	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Pit latrine	0	Yes	No	Yes	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	To reduces spread/ transmission of disease	With water and ash	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	0	Hygiene/NFI Kits distribution	Istanbul	0.6666666666666666	0.5	Female	40	7	0.42857142857142855
Kismayo	Female	50	Yes	Some Primary	5	4	1	2	8	2	Married	Host Community	4	Unemployed	Land cultivation	No	No	No	No	No	No	No	No	No	No	No	No	Yes	29.6526458	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0.1	0.1	0.1	0.0	No	No	No	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Rainwater collection	30	15	120	3	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Pit latrine	10	Yes	No	Yes	No	Yes	No	Yes	Yes	No	Yes	No	No	No	To reduces spread/ transmission of disease	With water and ash	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	0	Hygiene/NFI Kits distribution	QamQam	2.0	1.0	Female	50	12	0.3333333333333333
Kismayo	Female	32	No	Completed primary	1	3	1	4	2	2	Married	IDP	136	Self-employed	Land cultivation	No	No	No	No	No	No	No	No	No	No	No	No	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	Yes	No	No	Unprotected dug well	Unprotected dug well	50	120	25	0	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Pit latrine	10	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	With water and soap	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	0	Hygiene/NFI Kits distribution	QamQam	0.6666666666666666	0.5	Male	36	9	15.11111111111111
Kismayo	Male	30	Yes	Some Primary	1	2	1	2	0	0	Married	IDP	80	Self-employed	Casual employment	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	24.7105	Yes	Yes	Yes	Crops	Recycled	Recycled	Recycled	Recycled	Saved from own harvest	Saved from own harvest	Saved from own harvest	Saved from own harvest	1.23553	1.23553	1.23553	1.23553	No	No	No	No	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	No	No	No	No	No	No	No	Yes	HAND SICKLE, SHOVEL & SPADE, AXE, PICKAXE and HOE	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	60	120	100	0	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Pit latrine	15	Yes	No	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	To reduces spread/ transmission of disease	With water and soap	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	.	Hygiene/NFI Kits distribution	Istanbul	0.0	0.0	Male	30	6	13.333333333333334
Kismayo	Male	25	Yes	Completed primary	1	2	1	3	1	1	Married	IDP	130	Self-employed	Land cultivation	No	No	No	No	No	No	Yes	No	No	No	No	No	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Farming kits	No	No	No	Unprotected dug well	Unprotected dug well	60	120	40	1	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	No	Pit latrine	10	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Thanks	Hygiene/NFI Kits distribution	QamQam	0.5	0.3333333333333333	Male	25	7	18.571428571428573
Kismayo	Male	30	Yes	No education	1	2	0	3	0	0	Other	IDP	60	Self-employed	Land cultivation	No	No	Yes	Yes	Yes	Yes	No	No	No	No	No	No	Yes	24.7105	No	No	Yes	0	0	0	Improved	0	0	0	Saved from own harvest	0	0.0	0.0	2.47105	0.0	0	0	No	0	0	0	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	30	60	80	1	Yes	No	No	No	No	No	No	No	Yes	Yes	Yes	No	Yes	Pit latrine	15	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	To reduces spread/ transmission of disease	With water and soap	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	,	Hygiene/NFI Kits distribution	Istanbul	0.0	0.0	Male	30	6	10.0
Kismayo	Female	40	Yes	Vocational training	1	3	0	3	1	2	Widower	IDP	100	Self-employed	Land cultivation	No	No	No	No	No	No	Yes	No	No	Yes	No	Yes	Yes	2.0	Yes	Yes	Yes	0	Recycled	Recycled	Recycled	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	1.0	1.0	1.0	0.0	Yes	Yes	Yes	0	Government	Government	Government	0	0	0	0	0	No	No	No	No	No	No	No	Yes	Farming kits	No	No	No	Unprotected spring	Unprotected dug well	60	120	30	1	No	No	No	No	No	No	No	No	No	No	Yes	Yes	No	Pit latrine	10	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	With water and soap	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Hygiene/NFI Kits distribution	Istanbul	0.3333333333333333	0.6666666666666666	Female	40	7	14.285714285714286
Kismayo	Female	39	Yes	Vocational training	1	4	1	3	3	4	Married	Host Community	200	Self-employed	Land cultivation	No	No	No	No	No	No	Yes	No	No	Yes	No	No	Yes	3.0	Yes	Yes	Yes	0	Recycled	Recycled	Recycled	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	1.0	1.0	1.0	0.0	Yes	Yes	Yes	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1	1	1	0	No	No	No	No	No	No	No	No	0	No	No	No	Protected dug well	Unprotected dug well	60	120	30	1	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	Pit latrine	12	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Hygiene/NFI Kits distribution	Istanbul	0.75	1.3333333333333333	Female	39	9	22.22222222222222
Kismayo	Female	30	Yes	No education	2	3	1	2	0	0	Widower	Host Community	60	Unemployed	Aid	No	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Public tap/standpipe	Public tap/standpipe	70	80	80	2	No	No	No	No	No	No	No	No	No	No	No	Yes	No	Pit latrine	18	No	No	No	Yes	Yes	No	No	Yes	No	No	Yes	No	No	To be healthy	Water alone	Yes	Yes	No	No	No	No	No	No	No	Yes	0	PLWD for UCT	Bulo Gaduud 	0.0	0.0	Female	30	8	7.5
Kismayo	Male	52	Yes	Some Primary	2	2	2	3	1	4	Married	IDP	100	Self-employed	Formal employment	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	9.88422	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1.23553	1.23553	1.23553	0.0	Yes	Yes	Yes	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1	1	1	0	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	HAND SICKLE, SHOVEL & SPADE, AXE, PICKAXE and HOE	No	Yes	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	60	60	60	0	Yes	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Pit latrine	10	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	To be healthy	With water and soap	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	.	Hygiene/NFI Kits distribution	New Gobweyn	0.5	1.3333333333333333	Male	52	9	11.11111111111111
Kismayo	Male	42	Yes	Completed secondary	1	2	2	1	2	2	Married	Host Community	170	Self-employed	Land cultivation	No	No	No	No	No	No	Yes	Yes	No	No	No	No	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	Yes	Farming tools	No	No	No	Unprotected dug well	Unprotected dug well	60	130	30	1	No	No	No	No	No	No	No	No	No	Yes	No	No	No	Pit latrine	10	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Hygiene/NFI Kits distribution	Istanbul	1.0	2.0	Male	42	6	28.333333333333332
Kismayo	Female	26	No	Some Primary	1	4	1	3	1	1	Married	IDP	4	Self-employed	Land cultivation	No	No	No	No	No	No	Yes	No	No	Yes	No	No	Yes	10.0	Yes	Yes	Yes	Water melon	Improved	Improved	Improved	Improved	Local agro-dealer/local market	Local agro-dealer/local market	Local agro-dealer/local market	Local agro-dealer/local market	0.1	0.1	0.1	0.1	No	No	No	No	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	No	No	No	No	No	No	No	Yes	"1. Forks 
2.  Shovel 
3. Axe 
4. Fertilizers  ( 4 kg)
5.  Seeds  ( Maize,  Beans )"	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Rainwater collection	20	60	80	0	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Bush (in the open place)	10	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	To reduces spread/ transmission of disease	With water and sand	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	0	Hygiene/NFI Kits distribution	New Gobweyn	0.25	0.3333333333333333	Male	40	9	0.4444444444444444
Kismayo	Male	38	Yes	Some Primary	1	3	2	1	1	1	Married	Host Community	150	Self-employed	Land cultivation	Yes	No	No	No	No	No	Yes	No	No	No	No	No	Yes	4.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Government	Government	Government	0	1.0	1.0	1.0	0.0	Yes	Yes	Yes	0	Government	Government	Government	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Farming  tools	No	No	No	Unprotected dug well	Unprotected dug well	120	120	40	1	No	No	No	No	No	Yes	No	No	No	No	No	No	No	Pit latrine	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Hygiene/NFI Kits distribution	Daif	0.3333333333333333	1.0	Male	38	7	21.428571428571427
Kismayo	Male	49	Yes	No education	1	2	2	1	0	0	Married	Host Community	50	Unemployed	Casual employment	No	Yes	No	No	No	No	No	No	Yes	Yes	Yes	No	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Public tap/standpipe	Public tap/standpipe	50	70	80	1	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	Pit latrine	18	Yes	No	No	No	Yes	No	No	Yes	Yes	No	No	No	No	To be healthy	Water alone	Yes	No	No	No	No	No	No	No	Yes	No	0	PLWD for UCT	Istanbul	0.0	0.0	Male	49	6	8.333333333333334
Kismayo	Female	78	Yes	No education	0	5	0	5	1	0	Widower	IDP	120	Unemployed	Land cultivation	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0.1	0.1	0.1	0.0	No	No	No	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	Yes	"1. Fox
2. Farks 
2. Shovel 
3.  pick up 
4. seed"	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Rainwater collection	15	60	80	0	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Pit latrine	10	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	No	No	To reduces spread/ transmission of disease	With water and sand	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	0	Hygiene/NFI Kits distribution	Bulo Garsey	0.2	0.0	Female	78	10	12.0
